,period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,unit,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,county,latitude,longitude,nameplate-capacity-mw,net-summer-capacity-mw,net-winter-capacity-mw,operating-year-month,planned-derate-summer-cap-mw,planned-derate-year-month,planned-retirement-year-month,planned-uprate-summer-cap-mw,planned-uprate-year-month,nameplate-capacity-mw-units,net-summer-capacity-mw-units,net-winter-capacity-mw-units,planned-derate-summer-cap-mw-units,planned-uprate-summer-cap-mw-units
10,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6396,Black Canyon,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Gem,43.930462,-116.437172,5.1,5.1,5.1,1925-12,,,,,,MW,MW,MW,MW,MW
11,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,11,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1951-06,,,,,,MW,MW,MW,MW,MW
12,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,12,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1951-04,,,,,,MW,MW,MW,MW,MW
13,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,13,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1950-10,,,,,,MW,MW,MW,MW,MW
14,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,14,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1950-07,,,,,,MW,MW,MW,MW,MW
15,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,15,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1950-04,,,,,,MW,MW,MW,MW,MW
16,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,16,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1949-09,,,,,,MW,MW,MW,MW,MW
17,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,17,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1949-07,,,,,,MW,MW,MW,MW,MW
18,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,18,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1949-05,,,,,,MW,MW,MW,MW,MW
19,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6398,Minidoka,6,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Minidoka,42.669899,-113.483175,2.7,2.7,2.7,1927-06,,,,,,MW,MW,MW,MW,MW
20,2022-11,ID,Idaho,electric-utility,Electric Utility,1956,City of Bonners Ferry,6506,Moyie Springs,3,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Boundary,48.7339,-116.1752,1.0,1.1,1.1,1950-12,,,,,,MW,MW,MW,MW,MW
21,2022-11,ID,Idaho,electric-utility,Electric Utility,1956,City of Bonners Ferry,6506,Moyie Springs,4,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Boundary,48.7339,-116.1752,1.5,1.7,1.7,1982-02,,,,,,MW,MW,MW,MW,MW
22,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,19,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,600.0,690.0,690.0,1975-09,,,,,,MW,MW,MW,MW,MW
23,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1942-01,,,,,,MW,MW,MW,MW,MW
24,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,20,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,600.0,690.0,690.0,1976-04,,,,,,MW,MW,MW,MW,MW
25,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,21,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,600.0,690.0,690.0,1976-12,,,,,,MW,MW,MW,MW,MW
26,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,22,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,805.0,805.0,805.0,1978-05,,,,,,MW,MW,MW,MW,MW
27,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,23,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,805.0,805.0,805.0,1979-11,,,,,,MW,MW,MW,MW,MW
28,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,24,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,805.0,805.0,805.0,1980-05,,,,,,MW,MW,MW,MW,MW
29,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,PG7,,Hydroelectric Pumped Storage,WAT,Water,PS,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,50.0,50.0,50.0,1973-10,,,,,,MW,MW,MW,MW,MW
30,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,PG8,,Hydroelectric Pumped Storage,WAT,Water,PS,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,50.0,50.0,50.0,1973-11,,,,,,MW,MW,MW,MW,MW
31,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,PG9,,Hydroelectric Pumped Storage,WAT,Water,PS,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,53.5,53.5,53.5,1983-04,,,,,,MW,MW,MW,MW,MW
32,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,7,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1947-10,,,,,,MW,MW,MW,MW,MW
33,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,8,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1943-02,,,,,,MW,MW,MW,MW,MW
34,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,9,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1948-04,,,,,,MW,MW,MW,MW,MW
35,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,LS1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,10.0,10.0,10.0,1941-03,,,,,,MW,MW,MW,MW,MW
36,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,LS2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,10.0,10.0,10.0,1941-03,,,,,,MW,MW,MW,MW,MW
37,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,LS3,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,10.0,10.0,10.0,1951-01,,,,,,MW,MW,MW,MW,MW
38,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,PG10,,Hydroelectric Pumped Storage,WAT,Water,PS,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,53.5,53.5,53.5,1983-06,,,,,,MW,MW,MW,MW,MW
39,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,PG11,,Hydroelectric Pumped Storage,WAT,Water,PS,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,53.5,53.5,53.5,1983-11,,,,,,MW,MW,MW,MW,MW
40,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,PG12,,Hydroelectric Pumped Storage,WAT,Water,PS,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,53.5,53.5,53.5,1984-04,,,,,,MW,MW,MW,MW,MW
41,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6406,Chandler,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Benton,46.26678,-119.589821,6.0,6.0,6.0,1956-02,,,,,,MW,MW,MW,MW,MW
42,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6406,Chandler,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Benton,46.26678,-119.589821,6.0,6.0,6.0,1956-02,,,,,,MW,MW,MW,MW,MW
43,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6407,Roza,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Yakima,46.618413,-120.477759,12.9,12.9,12.9,1958-08,,,,,,MW,MW,MW,MW,MW
44,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,3,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1941-09,,,,,,MW,MW,MW,MW,MW
45,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,4,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1944-02,,,,,,MW,MW,MW,MW,MW
46,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,5,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1943-11,,,,,,MW,MW,MW,MW,MW
47,2022-11,WA,Washington,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6163,Grand Coulee,6,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Grant,47.957511,-118.977323,125.0,125.0,125.0,1943-08,,,,,,MW,MW,MW,MW,MW
48,2022-11,MT,Montana,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,2203,Hungry Horse,4,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Flathead,48.341521,-114.01443,107.0,107.0,107.0,1953-07,,,,,,MW,MW,MW,MW,MW
49,2022-11,OR,Oregon,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6403,Green Springs,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Jackson,42.121168,-122.547896,17.2,17.2,17.2,1960-05,,,,,,MW,MW,MW,MW,MW
50,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,850,Palisades Dam,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Bonneville,43.334849,-111.205752,44.1,44.1,44.1,1957-08,,,,,,MW,MW,MW,MW,MW
51,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,850,Palisades Dam,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Bonneville,43.334849,-111.205752,44.1,44.1,44.1,1957-05,,,,,,MW,MW,MW,MW,MW
52,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,850,Palisades Dam,3,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Bonneville,43.334849,-111.205752,44.1,44.1,44.1,1957-02,,,,,,MW,MW,MW,MW,MW
53,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,850,Palisades Dam,4,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Bonneville,43.334849,-111.205752,44.1,44.1,44.1,1958-05,,,,,,MW,MW,MW,MW,MW
54,2022-11,MT,Montana,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,2203,Hungry Horse,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Flathead,48.341521,-114.01443,107.0,107.0,107.0,1952-10,,,,,,MW,MW,MW,MW,MW
55,2022-11,MT,Montana,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,2203,Hungry Horse,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Flathead,48.341521,-114.01443,107.0,107.0,107.0,1952-12,,,,,,MW,MW,MW,MW,MW
56,2022-11,MT,Montana,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,2203,Hungry Horse,3,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Flathead,48.341521,-114.01443,107.0,107.0,107.0,1953-07,,,,,,MW,MW,MW,MW,MW
57,2022-11,ID,Idaho,electric-utility,Electric Utility,1956,City of Bonners Ferry,6506,Moyie Springs,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Boundary,48.7339,-116.1752,1.0,1.1,1.1,1941-12,,,,,,MW,MW,MW,MW,MW
58,2022-11,ID,Idaho,electric-utility,Electric Utility,1956,City of Bonners Ferry,6506,Moyie Springs,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Boundary,48.7339,-116.1752,0.4,0.4,0.4,1921-12,,,,,,MW,MW,MW,MW,MW
59,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6398,Minidoka,7,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Minidoka,42.669899,-113.483175,5.0,5.0,5.0,1942-05,,,,,,MW,MW,MW,MW,MW
60,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6398,Minidoka,8,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Minidoka,42.669899,-113.483175,10.0,10.0,10.0,1997-06,,,,,,MW,MW,MW,MW,MW
61,2022-11,ID,Idaho,electric-utility,Electric Utility,2518,U S Bureau of Reclamation,6398,Minidoka,9,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Minidoka,42.669899,-113.483175,10.0,10.0,10.0,1997-06,,,,,,MW,MW,MW,MW,MW
62,2022-11,WA,Washington,electric-utility,Electric Utility,3660,PUD No 1 of Clark County - (WA),7605,River Road Gen Plant,1,,Natural Gas Fired Combined Cycle,NG,Natural Gas,CS,BPAT,Bonneville Power Administration,OP,Operating,Clark,45.6497,-122.7256,248.0,220.0,248.0,1997-12,,,,5.0,2023-05,MW,MW,MW,MW,MW
63,2022-11,OR,Oregon,ipp-chp,IPP CHP,3770,Co-Generation Co,50921,Co-Gen LLC,GEN1,,Wood/Wood Waste Biomass,WDS,Wood Waste Solids,ST,BPAT,Bonneville Power Administration,SB,Standby/Backup: available for service but not normally used,Grant,44.458696,-118.720601,7.5,7.5,7.5,1986-05,,,,,,MW,MW,MW,MW,MW
64,2022-11,WA,Washington,electric-utility,Electric Utility,17470,PUD 1 of Snohomish County,60016,MESA 1,B,,Batteries,MWH,Electricity used for energy storage,BA,BPAT,Bonneville Power Administration,OA,Out of service but expected to return to service in next calendar year,Snohomish,47.936194,-122.246917,1.0,1.0,1.0,2016-02,,,,,,MW,MW,MW,MW,MW
65,2022-11,OR,Oregon,industrial-chp,Industrial CHP,61909,Equilon Enterprises LLC d/b/a Shell Oil,59704,"Shell New Energies, Junction City",JCBIO,,Other Waste Biomass,OBG,Other Biomass Gases ,GT,BPAT,Bonneville Power Administration,OS,Out of service and NOT expected to return to service in next calendar year,Lane,44.183526,-123.200454,1.6,1.6,1.6,2011-10,,,,,,MW,MW,MW,MW,MW
66,2022-11,WA,Washington,electric-utility,Electric Utility,17470,PUD 1 of Snohomish County,64446,Arlington Microgrid,AMGB,,Batteries,MWH,Electricity used for energy storage,BA,BPAT,Bonneville Power Administration,OP,Operating,Snohomish,48.15614,-122.1502,1.0,1.0,1.0,2021-10,,,,,,MW,MW,MW,MW,MW
67,2022-11,WA,Washington,electric-utility,Electric Utility,17470,PUD 1 of Snohomish County,64446,Arlington Microgrid,AMGPV,,Solar Photovoltaic,SUN,Solar,PV,BPAT,Bonneville Power Administration,OP,Operating,Snohomish,48.15614,-122.1502,0.5,0.5,0.5,2019-06,,,,,,MW,MW,MW,MW,MW
68,2022-11,ID,Idaho,ipp-non-chp,IPP Non-CHP,50147,US Geothermal Inc.,56317,Raft River Geothermal Power Plant,1,,Geothermal,GEO,Geothermal,BT,BPAT,Bonneville Power Administration,OP,Operating,Cassia,42.099417,-113.38245,18.0,10.0,12.2,2008-04,,,,,,MW,MW,MW,MW,MW
69,2022-11,WA,Washington,ipp-non-chp,IPP Non-CHP,55907,White Creek Wind 1 LLC,56487,White Creek Wind Farm,1,,Onshore Wind Turbine,WND,Wind,WT,BPAT,Bonneville Power Administration,OP,Operating,Klickitat,45.815467,-120.341883,204.0,204.0,204.0,2007-11,,,,,,MW,MW,MW,MW,MW
70,2022-11,WA,Washington,electric-utility,Electric Utility,3295,City of Centralia - (WA),3878,Yelm,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Thurston,46.974912,-122.635795,3.0,2.7,2.7,1930-12,,,,,,MW,MW,MW,MW,MW
71,2022-11,WA,Washington,electric-utility,Electric Utility,3295,City of Centralia - (WA),3878,Yelm,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Thurston,46.974912,-122.635795,3.0,2.7,2.7,1930-12,,,,,,MW,MW,MW,MW,MW
72,2022-11,WA,Washington,electric-utility,Electric Utility,3295,City of Centralia - (WA),3878,Yelm,3,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Thurston,46.974912,-122.635795,6.0,6.0,6.0,1955-12,,,,,,MW,MW,MW,MW,MW
73,2022-11,OR,Oregon,ipp-non-chp,IPP Non-CHP,12502,Middle Fork Irrigation Dist,50917,Middle Fork Irrigation District,GEN1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Hood River,45.480701,-121.59984,2.0,2.0,2.0,1986-03,,,,,,MW,MW,MW,MW,MW
74,2022-11,OR,Oregon,ipp-non-chp,IPP Non-CHP,12502,Middle Fork Irrigation Dist,50917,Middle Fork Irrigation District,GEN2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Hood River,45.480701,-121.59984,0.5,0.5,0.5,1986-03,,,,,,MW,MW,MW,MW,MW
75,2022-11,OR,Oregon,ipp-non-chp,IPP Non-CHP,12502,Middle Fork Irrigation Dist,50917,Middle Fork Irrigation District,GEN3,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Hood River,45.480701,-121.59984,0.8,0.8,0.8,1986-03,,,,,,MW,MW,MW,MW,MW
76,2022-11,WA,Washington,industrial-chp,Industrial CHP,26840,Port Townsend Paper Co,50544,Port Townsend Paper,GEN6,,Wood/Wood Waste Biomass,BLQ,Black Liquor,ST,BPAT,Bonneville Power Administration,OP,Operating,Jefferson,48.0931,-122.7958,7.5,7.5,7.5,1986-01,,,,,,MW,MW,MW,MW,MW
77,2022-11,WA,Washington,industrial-chp,Industrial CHP,26840,Port Townsend Paper Co,50544,Port Townsend Paper,HDRO,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OS,Out of service and NOT expected to return to service in next calendar year,Jefferson,48.0931,-122.7958,0.4,0.3,0.3,1982-08,,,,,,MW,MW,MW,MW,MW
78,2022-11,WA,Washington,ipp-non-chp,IPP Non-CHP,20032,Walla Walla City of,50382,Twin Reservoirs,GEN1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Walla Walla,46.088333,-118.254722,2.2,1.8,1.5,1988-04,,,,,,MW,MW,MW,MW,MW
79,2022-11,WA,Washington,electric-utility,Electric Utility,19400,USACE Northwestern Division,3921,Chief Joseph,7,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Douglas,47.9951,-119.6404,88.2,88.2,88.2,1956-11,,,,,,MW,MW,MW,MW,MW
80,2022-11,WA,Washington,electric-utility,Electric Utility,19400,USACE Northwestern Division,3921,Chief Joseph,8,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Douglas,47.9951,-119.6404,88.2,88.2,88.2,1956-09,,,,,,MW,MW,MW,MW,MW
81,2022-11,WA,Washington,electric-utility,Electric Utility,19400,USACE Northwestern Division,3921,Chief Joseph,9,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Douglas,47.9951,-119.6404,88.2,65.0,65.0,1955-12,,,,,,MW,MW,MW,MW,MW
82,2022-11,WA,Washington,electric-utility,Electric Utility,19400,USACE Northwestern Division,3925,Ice Harbor,1,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OA,Out of service but expected to return to service in next calendar year,Walla Walla,46.249801,-118.879838,90.0,72.0,72.0,1962-01,,,,,,MW,MW,MW,MW,MW
83,2022-11,WA,Washington,electric-utility,Electric Utility,19400,USACE Northwestern Division,3925,Ice Harbor,2,,Conventional Hydroelectric,WAT,Water,HY,BPAT,Bonneville Power Administration,OP,Operating,Walla Walla,46.249801,-118.879838,90.0,90.0,90.0,1962-03,,,,,,MW,MW,MW,MW,MW
